"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"92086000045","Centre de Serveis Socials de La Marina","#","Pg","Zona Franca","185","185","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.360983","2.137874","427890.569","4579189.342","427982.479","4579390.249","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086000045","Centre de Serveis Socials de La Marina","#","Pg","Zona Franca","185","185","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.360983","2.137874","427890.569","4579189.342","427982.479","4579390.249","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086000045","Centre de Serveis Socials de La Marina","#","Pg","Zona Franca","185","185","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.360983","2.137874","427890.569","4579189.342","427982.479","4579390.249","932563742","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086000045","Centre de Serveis Socials de La Marina","#","Pg","Zona Franca","185","185","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.360983","2.137874","427890.569","4579189.342","427982.479","4579390.249","932563742","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086000418","Centre de Serveis Socials Raval Nord","#","C","Carme","101","109","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.379871","2.166577","430311.5","4581262.858","430403.432","4581463.785","932564722","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086000418","Centre de Serveis Socials Raval Nord","#","C","Carme","101","109","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.379871","2.166577","430311.5","4581262.858","430403.432","4581463.785","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086000418","Centre de Serveis Socials Raval Nord","#","C","Carme","101","109","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.379871","2.166577","430311.5","4581262.858","430403.432","4581463.785","932564722","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086000418","Centre de Serveis Socials Raval Nord","#","C","Carme","101","109","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.379871","2.166577","430311.5","4581262.858","430403.432","4581463.785","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086001833","Centre de Serveis Socials Besòs","#","Rbla","Prim","87","89","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.416512","2.211819","434131.514","4585295.236","434223.48","4585496.202","932564922","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086001833","Centre de Serveis Socials Besòs","#","Rbla","Prim","87","89","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.416512","2.211819","434131.514","4585295.236","434223.48","4585496.202","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086001833","Centre de Serveis Socials Besòs","#","Rbla","Prim","87","89","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.416512","2.211819","434131.514","4585295.236","434223.48","4585496.202","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086001833","Centre de Serveis Socials Besòs","#","Rbla","Prim","87","89","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.416512","2.211819","434131.514","4585295.236","434223.48","4585496.202","932564922","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086002384","Centre de Serveis Socials Cotxeres de Sants","#","Pas","Fructuós Gelabert","2","2","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.375227","2.136551","427795.621","4580771.795","427887.53","4580972.717","932918715","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086002384","Centre de Serveis Socials Cotxeres de Sants","#","Pas","Fructuós Gelabert","2","2","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.375227","2.136551","427795.621","4580771.795","427887.53","4580972.717","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086002384","Centre de Serveis Socials Cotxeres de Sants","#","Pas","Fructuós Gelabert","2","2","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.375227","2.136551","427795.621","4580771.795","427887.53","4580972.717","932918715","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086002384","Centre de Serveis Socials Cotxeres de Sants","#","Pas","Fructuós Gelabert","2","2","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.375227","2.136551","427795.621","4580771.795","427887.53","4580972.717","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086005103","Centre de Serveis Socials Sant Martí-Verneda","#","Pl","Eduard Torroja","17","17","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.415546","2.199044","433062.97","4585197.783","433154.926","4585398.747","932565755","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086005103","Centre de Serveis Socials Sant Martí-Verneda","#","Pl","Eduard Torroja","17","17","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.415546","2.199044","433062.97","4585197.783","433154.926","4585398.747","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086005103","Centre de Serveis Socials Sant Martí-Verneda","#","Pl","Eduard Torroja","17","17","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.415546","2.199044","433062.97","4585197.783","433154.926","4585398.747","932565755","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086005103","Centre de Serveis Socials Sant Martí-Verneda","#","Pl","Eduard Torroja","17","17","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.415546","2.199044","433062.97","4585197.783","433154.926","4585398.747","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086005767","Centre de Serveis Socials Guineueta-Verdun-Prosperitat","#","C","Enric Casanovas","73","77","52","la Prosperitat","08","Nou Barris","08016","019","BARCELONA","41.441958","2.180811","431566.883","4588144.325","431658.824","4588345.316","933547573","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086005767","Centre de Serveis Socials Guineueta-Verdun-Prosperitat","#","C","Enric Casanovas","73","77","52","la Prosperitat","08","Nou Barris","08016","019","BARCELONA","41.441958","2.180811","431566.883","4588144.325","431658.824","4588345.316","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086005767","Centre de Serveis Socials Guineueta-Verdun-Prosperitat","#","C","Enric Casanovas","73","77","52","la Prosperitat","08","Nou Barris","08016","019","BARCELONA","41.441958","2.180811","431566.883","4588144.325","431658.824","4588345.316","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086005767","Centre de Serveis Socials Guineueta-Verdun-Prosperitat","#","C","Enric Casanovas","73","77","52","la Prosperitat","08","Nou Barris","08016","019","BARCELONA","41.441958","2.180811","431566.883","4588144.325","431658.824","4588345.316","933547573","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086009702","Centre de Serveis Socials Sant Andreu","#","C","Paixalet","2","2","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.437171","2.192005","432497.079","4587604.024","432589.029","4587805.011","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086009702","Centre de Serveis Socials Sant Andreu","#","C","Paixalet","2","2","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.437171","2.192005","432497.079","4587604.024","432589.029","4587805.011","932918851","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
"92086009702","Centre de Serveis Socials Sant Andreu","#","C","Paixalet","2","2","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.437171","2.192005","432497.079","4587604.024","432589.029","4587805.011","932918851","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086009702","Centre de Serveis Socials Sant Andreu","#","C","Paixalet","2","2","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.437171","2.192005","432497.079","4587604.024","432589.029","4587805.011","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086009708","Centre de Serveis Socials Sagrada Família","#","C","Mallorca","425","433","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.405012","2.177249","431230.346","4584045.418","431322.285","4584246.371","900922357","Centraleta","(dilluns a dijous: 9 a 14 h i de 16 a 19 h i divendres de 9 a 14 h)","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis d'atenció a la població en general","Serveis Socials",
"92086009708","Centre de Serveis Socials Sagrada Família","#","C","Mallorca","425","433","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.405012","2.177249","431230.346","4584045.418","431322.285","4584246.371","932562820","Fax","","01/01","31/12","0000011","09:00:00","14:00:00","","Centres de serveis socials","Serveis socials","Serveis socials",
